,brewery_id,name,city,state,lat,lon,geometry
0,0,NorthGate Brewing ,Minneapolis,MN,44.9799654,-93.2638361,POINT (-93.26383610000001 44.9799654)
1,1,Against the Grain Brewery,Louisville,KY,38.3030813461952,-85.68221911748951,POINT (-85.68221911748951 38.3030813461952)
2,2,Jack's Abby Craft Lagers,Framingham,MA,42.2792625,-71.416172,POINT (-71.416172 42.2792625)
3,3,Mike Hess Brewing Company,San Diego,CA,32.71571,-117.16472,POINT (-117.16472 32.71571)
4,4,Fort Point Beer Company,San Francisco,CA,37.7749295,-122.4194155,POINT (-122.4194155 37.7749295)
5,5,COAST Brewing Company,Charleston,SC,32.7765656,-79.9309216,POINT (-79.9309216 32.7765656)
6,6,Great Divide Brewing Company,Denver,CO,39.7391536,-104.9847034,POINT (-104.9847034 39.7391536)
7,7,Tapistry Brewing,Bridgman,MI,41.9430986,-86.5569659,POINT (-86.55696589999999 41.9430986)
8,8,Big Lake Brewing,Holland,MI,42.7875235,-86.1089301,POINT (-86.10893009999999 42.7875235)
9,9,The Mitten Brewing Company,Grand Rapids,MI,42.9633599,-85.6680863,POINT (-85.6680863 42.9633599)
10,10,Brewery Vivant,Grand Rapids,MI,42.9633599,-85.6680863,POINT (-85.6680863 42.9633599)
11,11,Petoskey Brewing,Petoskey,MI,45.3733428,-84.9553297,POINT (-84.95532969999999 45.3733428)
12,12,Blackrocks Brewery,Marquette,MI,46.5435442,-87.395417,POINT (-87.39541699999999 46.5435442)
13,13,Perrin Brewing Company,Comstock Park,MI,43.0386368,-85.6700332,POINT (-85.67003320000001 43.0386368)
14,14,Witch's Hat Brewing Company,South Lyon,MI,42.46059,-83.6516063,POINT (-83.6516063 42.46059)
15,15,Founders Brewing Company,Grand Rapids,MI,42.9633599,-85.6680863,POINT (-85.6680863 42.9633599)
16,16,Flat 12 Bierwerks,Indianapolis,IN,39.7683765,-86.1580423,POINT (-86.15804230000001 39.7683765)
17,17,Tin Man Brewing Company,Evansville,IN,37.9747644,-87.5558482,POINT (-87.5558482 37.9747644)
18,18,Black Acre Brewing Co.,Indianapolis,IN,39.7683765,-86.1580423,POINT (-86.15804230000001 39.7683765)
19,19,Brew Link Brewing,Plainfield,IN,41.6269745,-88.2039539,POINT (-88.2039539 41.6269745)
20,20,Bare Hands Brewery,Granger,IN,41.7533819,-86.1108377,POINT (-86.1108377 41.7533819)
21,21,Three Pints Brewing,Martinsville,IN,39.4278253,-86.428328,POINT (-86.42832799999999 39.4278253)
22,22,Four Fathers Brewing ,Valparaiso,IN,41.4730948,-87.0611412,POINT (-87.06114119999999 41.4730948)
23,23,Indiana City Brewing,Indianapolis,IN,39.7683765,-86.1580423,POINT (-86.15804230000001 39.7683765)
24,24,Burn 'Em Brewing,Michigan City,IN,41.7075394,-86.8950297,POINT (-86.89502969999999 41.7075394)
25,25,Sun King Brewing Company,Indianapolis,IN,39.7683765,-86.1580423,POINT (-86.15804230000001 39.7683765)
26,26,Evil Czech Brewery,Mishawaka,IN,41.6619927,-86.1586156,POINT (-86.1586156 41.6619927)
27,27,450 North Brewing Company,Columbus,IN,32.4609764,-84.9877094,POINT (-84.9877094 32.4609764)
28,28,Taxman Brewing Company,Bargersville,IN,39.5208818,-86.1677657,POINT (-86.1677657 39.5208818)
29,29,Cedar Creek Brewery,Seven Points,TX,32.3204226,-96.2130315,POINT (-96.2130315 32.3204226)
30,30,SanTan Brewing Company,Chandler,AZ,33.18586574722176,-112.07070114747218,POINT (-112.0707011474722 33.18586574722176)
31,31,Boulevard Brewing Company,Kansas City,MO,39.0997266,-94.5785667,POINT (-94.5785667 39.0997266)
32,32,James Page Brewing Company,Stevens Point,WI,44.5235792,-89.574563,POINT (-89.574563 44.5235792)
33,33,The Dudes' Brewing Company,Torrance,CA,33.8358492,-118.3406288,POINT (-118.3406288 33.8358492)
34,34,Ballast Point Brewing Company,San Diego,CA,32.71571,-117.16472,POINT (-117.16472 32.71571)
35,35,Anchor Brewing Company,San Francisco,CA,37.7749295,-122.4194155,POINT (-122.4194155 37.7749295)
36,36,Figueroa Mountain Brewing Company,Buellton,CA,34.613597,-120.1926505,POINT (-120.1926505 34.613597)
37,37,Avery Brewing Company,Boulder,CO,40.0149856,-105.2705456,POINT (-105.2705456 40.0149856)
38,38,Twisted X Brewing Company,Dripping Springs,TX,30.1902067,-98.0866781,POINT (-98.0866781 30.1902067)
39,39,Gonzo's BiggDogg Brewing,Kalamazoo,MI,42.2917069,-85.5872286,POINT (-85.5872286 42.2917069)
40,40,Big Muddy Brewing,Murphysboro,IL,37.7644952,-89.3350888,POINT (-89.33508879999999 37.7644952)
41,41,Lost Nation Brewing,East Fairfield,VT,44.7844926,-72.8584673,POINT (-72.8584673 44.7844926)
42,42,Rising Tide Brewing Company,Portland,ME,43.65737,-70.2589,POINT (-70.2589 43.65737)
43,43,Rivertowne Brewing Company,Export,PA,40.4181235,-79.625599,POINT (-79.62559899999999 40.4181235)
44,44,Revolution Brewing Company,Chicago,IL,41.850033,-87.6500523,POINT (-87.6500523 41.850033)
45,45,Tallgrass Brewing Company,Manhattan,KS,39.1836082,-96.5716694,POINT (-96.5716694 39.1836082)
46,46,Sixpoint Craft Ales,Brooklyn,NY,40.6501038,-73.9495823,POINT (-73.9495823 40.6501038)
47,47,White Birch Brewing,Hooksett,NH,43.0967495,-71.4650684,POINT (-71.46506840000001 43.0967495)
48,48,Firestone Walker Brewing Company,Paso Robles,CA,35.6266369,-120.6910043,POINT (-120.6910043 35.6266369)
49,49,SweetWater Brewing Company,Atlanta,GA,33.7489954,-84.3879824,POINT (-84.3879824 33.7489954)
50,50,Flying Mouse Brewery,Troutville,VA,37.4181897,-79.8747627,POINT (-79.87476270000001 37.4181897)
51,51,Upslope Brewing Company,Boulder,CO,40.0149856,-105.2705456,POINT (-105.2705456 40.0149856)
52,52,Pipeworks Brewing Company,Chicago,IL,41.850033,-87.6500523,POINT (-87.6500523 41.850033)
53,53,Bent Brewstillery,Roseville,MN,45.0060767,-93.1566107,POINT (-93.1566107 45.0060767)
54,54,Flesk Brewing Company,Lombard,IL,41.8800296,-88.0078435,POINT (-88.00784350000001 41.8800296)
55,55,Pollyanna Brewing Company,Lemont,IL,41.673642,-88.0017261,POINT (-88.0017261 41.673642)
56,56,BuckleDown Brewing,Lyons,IL,41.8050314,-87.8692254,POINT (-87.8692254 41.8050314)
57,57,Destihl Brewery,Bloomington,IL,40.4842027,-88.9936873,POINT (-88.9936873 40.4842027)
58,58,Summit Brewing Company,St. Paul,MN,44.9444101,-93.0932742,POINT (-93.0932742 44.9444101)
59,59,Latitude 42 Brewing Company,Portage,MI,41.6833813,-86.2500066,POINT (-86.25000660000001 41.6833813)
60,60,4 Hands Brewing Company,Saint Louis,MO,38.6272733,-90.1978889,POINT (-90.1978889 38.6272733)
61,61,Surly Brewing Company,Brooklyn Center,MN,45.076076,-93.3327284,POINT (-93.33272839999999 45.076076)
62,62,Against The Grain Brewery,Louisville,KY,38.3030813461952,-85.68221911748951,POINT (-85.68221911748951 38.3030813461952)
63,63,Crazy Mountain Brewing Company,Edwards,CO,39.62782561657971,-106.69529925700375,POINT (-106.6952992570038 39.62782561657971)
64,64,SlapShot Brewing Company,Chicago,IL,41.850033,-87.6500523,POINT (-87.6500523 41.850033)
65,65,Mikerphone Brewing,Chicago,IL,41.850033,-87.6500523,POINT (-87.6500523 41.850033)
66,66,Freetail Brewing Company,San Antonio,TX,29.4241219,-98.4936282,POINT (-98.4936282 29.4241219)
67,67,3 Daughters Brewing,St Petersburg,FL,28.123415643482907,-82.52852989304125,POINT (-82.52852989304125 28.12341564348291)
68,68,Red Shedman Farm Brewery and Hop...,Mount Airy,MD,39.3762145,-77.154704,POINT (-77.154704 39.3762145)
69,69,Appalachian Mountain Brewery,Boone,NC,36.216795,-81.6745517,POINT (-81.67455169999999 36.216795)
70,70,Birdsong Brewing Company,Charlotte,NC,35.2270869,-80.8431268,POINT (-80.84312679999999 35.2270869)
71,71,Union Craft Brewing,Baltimore,MD,39.2903848,-76.6121893,POINT (-76.6121893 39.2903848)
72,72,Atwater Brewery,Detroit,MI,42.331427,-83.0457538,POINT (-83.0457538 42.331427)
73,73,Ale Asylum,Madison,WI,43.0730517,-89.4012302,POINT (-89.4012302 43.0730517)
74,74,Two Brothers Brewing Company,Warrenville,IL,41.817807,-88.1734021,POINT (-88.1734021 41.817807)
75,75,Bent Paddle Brewing Company,Duluth,MN,46.7832731,-92.1065787,POINT (-92.1065787 46.7832731)
76,76,Bell's Brewery,Kalamazoo,MI,42.2917069,-85.5872286,POINT (-85.5872286 42.2917069)
77,77,Blue Owl Brewing,Austin,TX,30.267153,-97.7430608,POINT (-97.74306079999999 30.267153)
78,78,Speakasy Ales & Lagers,San Francisco,CA,37.7749295,-122.4194155,POINT (-122.4194155 37.7749295)
79,79,Black Tooth Brewing Company,Sheridan,WY,44.7971939,-106.9561792,POINT (-106.9561792 44.7971939)
80,80,Hopworks Urban Brewery,Portland,OR,45.5234515,-122.6762071,POINT (-122.6762071 45.5234515)
81,81,Epic Brewing,Denver,CO,39.7391536,-104.9847034,POINT (-104.9847034 39.7391536)
82,82,New Belgium Brewing Company,Fort Collins,CO,40.5852602,-105.084423,POINT (-105.084423 40.5852602)
83,83,Sierra Nevada Brewing Company,Chico,CA,39.7284945,-121.8374777,POINT (-121.8374777 39.7284945)
84,84,Keweenaw Brewing Company,Houghton,MI,47.1682599,-88.4890092,POINT (-88.4890092 47.1682599)
85,85,Brewery Terra Firma,Traverse City,MI,44.7630567,-85.6206317,POINT (-85.6206317 44.7630567)
86,86,Grey Sail Brewing Company,Westerly,RI,41.3775996,-71.8272911,POINT (-71.8272911 41.3775996)
87,87,Kirkwood Station Brewing Company,Kirkwood,MO,38.5833862,-90.406785,POINT (-90.406785 38.5833862)
88,88,Goose Island Brewing Company,Chicago,IL,41.850033,-87.6500523,POINT (-87.6500523 41.850033)
89,89,Broad Brook Brewing LLC,East Windsor,CT,41.8525984,-72.6437022,POINT (-72.64370220000001 41.8525984)
90,90,The Lion Brewery,Wilkes-Barre,PA,41.2459149,-75.8813075,POINT (-75.88130750000001 41.2459149)
91,91,Madtree Brewing Company,Cincinnati,OH,39.12711,-84.51439,POINT (-84.51439000000001 39.12711)
92,92,Jackie O's Pub & Brewery,Athens,OH,39.3292396,-82.1012555,POINT (-82.10125549999999 39.3292396)
93,93,Rhinegeist Brewery,Cincinnati,OH,39.12711,-84.51439,POINT (-84.51439000000001 39.12711)
94,94,Warped Wing Brewing Company,Dayton,OH,39.7589478,-84.1916069,POINT (-84.1916069 39.7589478)
95,95,Blackrocks Brewery,Marquette,MA,46.5435442,-87.395417,POINT (-87.39541699999999 46.5435442)
96,96,Catawba Valley Brewing Company,Morganton,NC,35.7454071,-81.6848188,POINT (-81.6848188 35.7454071)
97,97,Tröegs Brewing Company,Hershey,PA,40.2859239,-76.6502468,POINT (-76.65024680000001 40.2859239)
98,98,Mission Brewery,San Diego,CA,32.71571,-117.16472,POINT (-117.16472 32.71571)
99,99,Christian Moerlein Brewing Company,Cincinnati,OH,39.12711,-84.51439,POINT (-84.51439000000001 39.12711)
100,100,West Sixth Brewing,Lexington,KY,37.9886892,-84.4777153,POINT (-84.4777153 37.9886892)
101,101,Coastal Extreme Brewing Company,Newport,RI,41.4901024,-71.3128285,POINT (-71.31282849999999 41.4901024)
102,102,King Street Brewing Company,Anchorage,AK,61.2180556,-149.9002778,POINT (-149.9002778 61.2180556)
103,103,Beer Works Brewery,Lowell,MA,42.6334247,-71.3161718,POINT (-71.31617180000001 42.6334247)
104,104,Lone Tree Brewing Company,Lone Tree,CO,39.551706503542654,-104.88630294799805,POINT (-104.886302947998 39.55170650354265)
105,105,Four String Brewing Company,Columbus,OH,39.9611755,-82.9987942,POINT (-82.99879420000001 39.9611755)
106,106,Glabrous Brewing Company,Pineland,ME,35.4586822,-84.9038377,POINT (-84.9038377 35.4586822)
107,107,Bonfire Brewing Company,Eagle,CO,39.6402638,-106.3741955,POINT (-106.3741955 39.6402638)
108,108,Thomas Hooker Brewing Company,Bloomfield,CT,41.826488,-72.7300945,POINT (-72.73009450000001 41.826488)
109,109,"Woodstock Inn, Station & Brewery",North Woodstock,NH,43.6242362,-72.5184275,POINT (-72.5184275 43.6242362)
110,110,Renegade Brewing Company,Denver,CO,39.7391536,-104.9847034,POINT (-104.9847034 39.7391536)
111,111,Mother Earth Brew Company,Vista,CA,32.6400541,-117.0841955,POINT (-117.0841955 32.6400541)
112,112,Black Market Brewing Company,Temecula,CA,33.4936391,-117.1483648,POINT (-117.1483648 33.4936391)
113,113,Vault Brewing Company,Yardley,PA,40.245664,-74.8459972,POINT (-74.8459972 40.245664)
114,114,Jailbreak Brewing Company,Laurel,MD,39.0992752,-76.8483061,POINT (-76.8483061 39.0992752)
115,115,Smartmouth Brewing Company,Norfolk,VA,36.8468146,-76.2852183,POINT (-76.2852183 36.8468146)
116,116,Base Camp Brewing Co.,Portland,OR,45.5234515,-122.6762071,POINT (-122.6762071 45.5234515)
117,117,Alameda Brewing,Portland,OR,45.5234515,-122.6762071,POINT (-122.6762071 45.5234515)
118,118,Southern Star Brewing Company,Conroe,TX,30.3118769,-95.4560512,POINT (-95.4560512 30.3118769)
119,119,Steamworks Brewing Company,Durango,CO,37.27528,-107.8800667,POINT (-107.8800667 37.27528)
120,120,Horny Goat Brew Pub,Milwaukee,WI,43.0389025,-87.9064736,POINT (-87.9064736 43.0389025)
121,121,Cheboygan Brewing Company,Cheboygan,MI,45.4729439,-84.492063,POINT (-84.492063 45.4729439)
122,122,Center of the Universe Brewing C...,Ashland,VA,37.7590318,-77.4799837,POINT (-77.47998370000001 37.7590318)
123,123,Ipswich Ale Brewery,Ipswich,MA,42.6792602,-70.8411612,POINT (-70.8411612 42.6792602)
124,124,Griffin Claw Brewing Company,Birmingham,MI,42.5467012,-83.2113192,POINT (-83.21131920000001 42.5467012)
125,125,Karbach Brewing Company,Houston,TX,29.7632836,-95.3632715,POINT (-95.3632715 29.7632836)
126,126,Uncle Billy's Brewery and Smokeh...,Austin,TX,30.267153,-97.7430608,POINT (-97.74306079999999 30.267153)
127,127,Deep Ellum Brewing Company,Dallas,TX,32.7830556,-96.8066667,POINT (-96.80666669999999 32.7830556)
128,128,Real Ale Brewing Company,Blanco,TX,30.2663768,-98.399865,POINT (-98.39986500000001 30.2663768)
129,129,Straub Brewery,St Mary's,PA,38.2837401,-76.4185285,POINT (-76.41852849999999 38.2837401)
130,130,Shebeen Brewing Company,Wolcott,CT,41.6023196,-72.9867718,POINT (-72.9867718 41.6023196)
131,131,Stevens Point Brewery,Stevens Point,WI,44.5235792,-89.574563,POINT (-89.574563 44.5235792)
132,132,Weston Brewing Company,Weston,MO,39.4111092,-94.9016298,POINT (-94.90162979999999 39.4111092)
133,133,Southern Prohibition Brewing Com...,Hattiesburg,MS,31.3271189,-89.2903392,POINT (-89.29033920000001 31.3271189)
134,134,Minhas Craft Brewery,Monroe,WI,43.9582995,-90.7379119,POINT (-90.7379119 43.9582995)
135,135,Pug Ryan's Brewery,Dillon,CO,39.6302643,-106.0433518,POINT (-106.0433518 39.6302643)
136,136,Hops & Grains Brewing Company,Austin,TX,30.267153,-97.7430608,POINT (-97.74306079999999 30.267153)
137,137,Sietsema Orchards and Cider Mill,Ada,MI,42.9541963,-85.4889121,POINT (-85.48891209999999 42.9541963)
138,138,Summit Brewing Company,St Paul,MN,44.9444101,-93.0932742,POINT (-93.0932742 44.9444101)
139,139,Core Brewing & Distilling Company,Springdale,AR,36.1867442,-94.1288142,POINT (-94.12881419999999 36.1867442)
140,140,Independence Brewing Company,Austin,TX,30.267153,-97.7430608,POINT (-97.74306079999999 30.267153)
141,141,Cigar City Brewing Company,Tampa,FL,27.9475216,-82.4584279,POINT (-82.4584279 27.9475216)
142,142,Third Street Brewhouse,Cold Spring,MN,45.4557973,-94.4288849,POINT (-94.4288849 45.4557973)
143,143,Narragansett Brewing Company,Providence,RI,41.8239891,-71.4128343,POINT (-71.4128343 41.8239891)
144,144,Grimm Brothers Brewhouse,Loveland,CO,40.3977612,-105.0749801,POINT (-105.0749801 40.3977612)
145,145,Cisco Brewers,Nantucket,MA,41.2834563,-70.0994605,POINT (-70.09946050000001 41.2834563)
146,146,Angry Minnow,Hayward,WI,46.0130065,-91.4846208,POINT (-91.4846208 46.0130065)
147,147,Platform Beer Company,Cleveland,OH,41.4994954,-81.6954088,POINT (-81.6954088 41.4994954)
148,148,Odyssey Beerwerks,Arvada,CO,39.8027644,-105.0874842,POINT (-105.0874842 39.8027644)
149,149,Lonerider Brewing Company,Raleigh,NC,35.772096,-78.6386145,POINT (-78.6386145 35.772096)
150,150,Oakshire Brewing,Eugene,OR,44.0520691,-123.0867536,POINT (-123.0867536 44.0520691)
151,151,Fort Pitt Brewing Company,Latrobe,PA,40.3211808,-79.3794811,POINT (-79.37948110000001 40.3211808)
152,152,Tin Roof Brewing Company,Baton Rouge,LA,30.44332,-91.18747,POINT (-91.18747 30.44332)
153,153,Three Creeks Brewing,Sisters,OR,44.0411562,-121.900475,POINT (-121.900475 44.0411562)
154,154,2 Towns Ciderhouse,Corvallis,OR,44.5645659,-123.2620435,POINT (-123.2620435 44.5645659)
155,155,Caldera Brewing Company,Ashland,OR,42.1945759,-122.7094767,POINT (-122.7094767 42.1945759)
156,156,Greenbrier Valley Brewing Company,Lewisburg,WV,37.8017879,-80.4456303,POINT (-80.4456303 37.8017879)
157,157,Phoenix Ale Brewery,Phoenix,AZ,33.4483771,-112.0740373,POINT (-112.0740373 33.4483771)
158,158,Lumberyard Brewing Company,Flagstaff,AZ,35.1980671,-111.6512725,POINT (-111.6512725 35.1980671)
159,159,Uinta Brewing Company,Salt Lake City,UT,40.7607794,-111.8910474,POINT (-111.8910474 40.7607794)
160,160,Four Peaks Brewing Company,Tempe,AZ,33.414768,-111.9093095,POINT (-111.9093095 33.414768)
161,161,Martin House Brewing Company,Fort Worth,TX,32.725409,-97.3208496,POINT (-97.3208496 32.725409)
162,162,Right Brain Brewery,Traverse City,MI,44.7630567,-85.6206317,POINT (-85.6206317 44.7630567)
163,163,Sly Fox Brewing Company,Phoenixville,PA,40.1303822,-75.5149128,POINT (-75.5149128 40.1303822)
164,164,Round Guys Brewing,Lansdale,PA,40.2414952,-75.2837862,POINT (-75.28378619999999 40.2414952)
165,165,Great Crescent Brewery,Aurora,IN,41.7605849,-88.3200715,POINT (-88.3200715 41.7605849)
166,166,Oskar Blues Brewery,Longmont,CO,40.1672069,-105.1019275,POINT (-105.1019275 40.1672069)
167,167,Boxcar Brewing Company,West Chester,PA,39.96097,-75.60804,POINT (-75.60804 39.96097)
168,168,High Hops Brewery,Windsor,CO,40.4774818,-104.9013617,POINT (-104.9013617 40.4774818)
169,169,Crooked Fence Brewing Company,Garden City,ID,43.6221108,-116.2381744,POINT (-116.2381744 43.6221108)
170,170,Everybody's Brewing,White Salmon,WA,45.7276194,-121.4864619,POINT (-121.4864619 45.7276194)
171,171,Anderson Valley Brewing Company,Boonville,CA,39.0090663,-123.3661194,POINT (-123.3661194 39.0090663)
172,172,Fiddlehead Brewing Company,Shelburne,VT,44.3806065,-73.227626,POINT (-73.227626 44.3806065)
173,173,Evil Twin Brewing,Brooklyn,NY,40.6501038,-73.9495823,POINT (-73.9495823 40.6501038)
174,174,New Orleans Lager & Ale Brewing ...,New Orleans,LA,29.9546482,-90.075072,POINT (-90.07507200000001 29.9546482)
175,175,Spiteful Brewing Company,Chicago,IL,41.850033,-87.6500523,POINT (-87.6500523 41.850033)
176,176,Rahr & Sons Brewing Company,Fort Worth,TX,32.725409,-97.3208496,POINT (-97.3208496 32.725409)
177,177,18th Street Brewery,Gary,IN,41.5933696,-87.3464271,POINT (-87.3464271 41.5933696)
178,178,Cambridge Brewing Company,Cambridge,MA,42.375097,-71.1056079,POINT (-71.1056079 42.375097)
179,179,Carolina Brewery,Pittsboro,NC,35.7201463,-79.1772371,POINT (-79.1772371 35.7201463)
180,180,Frog Level Brewing Company,Waynesville,NC,35.4887145,-82.9887477,POINT (-82.9887477 35.4887145)
181,181,Wild Wolf Brewing Company,Nellysford,VA,37.8904176,-78.8722444,POINT (-78.8722444 37.8904176)
182,182,COOP Ale Works,Oklahoma City,OK,35.4675602,-97.5164276,POINT (-97.5164276 35.4675602)
183,183,Seventh Son Brewing Company,Columbus,OH,39.9611755,-82.9987942,POINT (-82.99879420000001 39.9611755)
184,184,Oasis Texas Brewing Company,Austin,TX,30.267153,-97.7430608,POINT (-97.74306079999999 30.267153)
185,185,Vander Mill Ciders,Spring Lake,MI,43.0769625,-86.1969971,POINT (-86.1969971 43.0769625)
